year,name,count
2019-2020,Chesterfield County Public Schools,769
2019-2020,Henrico County Public Schools,922
2019-2020,Richmond City Public Schools,852
2020-2021,Chesterfield County Public Schools,491
2020-2021,Henrico County Public Schools,551
2020-2021,Richmond City Public Schools,543
2021-2022,Chesterfield County Public Schools,710
2021-2022,Henrico County Public Schools,758
2021-2022,Richmond City Public Schools,654
2022-2023,Chesterfield County Public Schools,933
2022-2023,Henrico County Public Schools,1139
2022-2023,Richmond City Public Schools,781
