year,coc,count
2007,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1158
2008,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1073
2009,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1150
2010,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1012
2011,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1084
2012,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",933
2013,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",881
2014,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",846
2015,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",818
2016,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",762
2017,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",662
2018,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",609
2019,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",497
2020,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",546
2021,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",834
2022,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",697
2023,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",690
