period,br,rent
2024 Q3 QTD,Studio,1263.00
2024 Q2,Studio,1267.00
2024 Q1,Studio,1254.00
2023 Q4,Studio,1236.00
2023 Q3,Studio,1234.00
2023 Q2,Studio,1246.00
2023 Q1,Studio,1233.00
2022 Q4,Studio,1212.00
2022 Q3,Studio,1222.00
2022 Q2,Studio,1209.00
2022 Q1,Studio,1184.00
2021 Q4,Studio,1165.00
2021 Q3,Studio,1152.00
2021 Q2,Studio,1139.00
2021 Q1,Studio,1123.00
2020 Q4,Studio,1109.00
2020 Q3,Studio,1107.00
2020 Q2,Studio,1094.00
2020 Q1,Studio,1089.00
2019 Q4,Studio,1081.00
2019 Q3,Studio,1075.00
2019 Q2,Studio,1072.00
2019 Q1,Studio,1061.00
2024 Q3 QTD,1 Bed,1356.00
2024 Q2,1 Bed,1364.00
2024 Q1,1 Bed,1340.00
2023 Q4,1 Bed,1328.00
2023 Q3,1 Bed,1322.00
2023 Q2,1 Bed,1331.00
2023 Q1,1 Bed,1325.00
2022 Q4,1 Bed,1310.00
2022 Q3,1 Bed,1322.00
2022 Q2,1 Bed,1319.00
2022 Q1,1 Bed,1289.00
2021 Q4,1 Bed,1257.00
2021 Q3,1 Bed,1240.00
2021 Q2,1 Bed,1218.00
2021 Q1,1 Bed,1180.00
2020 Q4,1 Bed,1159.00
2020 Q3,1 Bed,1153.00
2020 Q2,1 Bed,1140.00
2020 Q1,1 Bed,1127.00
2019 Q4,1 Bed,1119.00
2019 Q3,1 Bed,1117.00
2019 Q2,1 Bed,1118.00
2019 Q1,1 Bed,1105.00
2024 Q3 QTD,2 Beds,1539.00
2024 Q2,2 Beds,1549.00
2024 Q1,2 Beds,1516.00
2023 Q4,2 Beds,1483.00
2023 Q3,2 Beds,1485.00
2023 Q2,2 Beds,1487.00
2023 Q1,2 Beds,1495.00
2022 Q4,2 Beds,1456.00
2022 Q3,2 Beds,1474.00
2022 Q2,2 Beds,1474.00
2022 Q1,2 Beds,1440.00
2021 Q4,2 Beds,1388.00
2021 Q3,2 Beds,1388.00
2021 Q2,2 Beds,1354.00
2021 Q1,2 Beds,1299.00
2020 Q4,2 Beds,1270.00
2020 Q3,2 Beds,1259.00
2020 Q2,2 Beds,1238.00
2020 Q1,2 Beds,1218.00
2019 Q4,2 Beds,1205.00
2019 Q3,2 Beds,1203.00
2019 Q2,2 Beds,1206.00
2019 Q1,2 Beds,1188.00
2024 Q3 QTD,3 Beds,1819.00
2024 Q2,3 Beds,1819.00
2024 Q1,3 Beds,1792.00
2023 Q4,3 Beds,1756.00
2023 Q3,3 Beds,1748.00
2023 Q2,3 Beds,1741.00
2023 Q1,3 Beds,1730.00
2022 Q4,3 Beds,1709.00
2022 Q3,3 Beds,1708.00
2022 Q2,3 Beds,1700.00
2022 Q1,3 Beds,1649.00
2021 Q4,3 Beds,1615.00
2021 Q3,3 Beds,1607.00
2021 Q2,3 Beds,1565.00
2021 Q1,3 Beds,1506.00
2020 Q4,3 Beds,1474.00
2020 Q3,3 Beds,1466.00
2020 Q2,3 Beds,1444.00
2020 Q1,3 Beds,1420.00
2019 Q4,3 Beds,1405.00
2019 Q3,3 Beds,1395.00
2019 Q2,3 Beds,1392.00
2019 Q1,3 Beds,1374.00
