period,starts
2023 Q3,386.00
2023 Q2,306.00
2023 Q1,196.00
2022 Q4,759.00
2022 Q3,1322.00
2022 Q2,1246.00
2022 Q1,1573.00
2021 Q4,530.00
2021 Q3,796.00
2021 Q2,1068.00
2021 Q1,575.00
2020 Q4,694.00
2020 Q3,883.00
2020 Q2,376.00
2020 Q1,951.00
2019 Q4,931.00
2019 Q3,1634.00
2019 Q2,1204.00
2019 Q1,1232.00
2018 Q4,756.00
2018 Q3,520.00
2018 Q2,842.00
2018 Q1,299.00
2017 Q4,493.00
2017 Q3,224.00
2017 Q2,905.00
2017 Q1,63.00
2016 Q4,476.00
2016 Q3,1257.00
2016 Q2,287.00
2016 Q1,127.00
2015 Q4,342.00
2015 Q3,108.00
2015 Q2,531.00
2015 Q1,1043.00
2014 Q4,274.00
2014 Q3,365.00
2014 Q2,360.00
2014 Q1,870.00
2013 Q4,250.00
2013 Q3,717.00
2013 Q2,644.00
2013 Q1,412.00
2012 Q4,2.00
2012 Q3,200.00
2012 Q2,204.00
2012 Q1,39.00
2011 Q4,860.00
2011 Q3,0.00
2011 Q2,16.00
2011 Q1,36.00
2010 Q4,413.00
2010 Q3,111.00
2010 Q2,75.00
2010 Q1,708.00
2009 Q4,301.00
2009 Q3,220.00
2009 Q2,24.00
2009 Q1,2.00
2008 Q4,0.00
2008 Q3,32.00
2008 Q2,132.00
2008 Q1,1416.00
2007 Q4,7.00
2007 Q3,0.00
2007 Q2,18.00
2007 Q1,0.00
2006 Q4,322.00
2006 Q3,110.00
2006 Q2,327.00
2006 Q1,94.00
2005 Q4,202.00
2005 Q3,255.00
2005 Q2,143.00
2005 Q1,130.00
2004 Q4,604.00
2004 Q3,12.00
2004 Q2,721.00
2004 Q1,843.00
2003 Q4,153.00
2003 Q3,540.00
2003 Q2,477.00
2003 Q1,236.00
2002 Q4,320.00
2002 Q3,735.00
2002 Q2,0.00
2002 Q1,104.00
2001 Q4,728.00
2001 Q3,150.00
2001 Q2,0.00
2001 Q1,328.00
2000 Q4,69.00
2000 Q3,248.00
2000 Q2,0.00
2000 Q1,365.00
